Date,Close/Last,Volume,Open,High,Low
02/13/2020,$146.72,1933876,$149.45,$149.53,$146.66
02/12/2020,$150.78,1583792,$148.04,$150.97,$148.04
02/11/2020,$147.19,1461280,$145.87,$148.95,$145.22
02/10/2020,$145.73,1169798,$143.01,$145.845,$142.45
02/07/2020,$144.07,1717590,$144.91,$145.40,$142.78
02/06/2020,$146.22,1065851,$148.29,$148.87,$145.78
02/05/2020,$147.71,1872525,$149.72,$150.17,$147.31
02/04/2020,$147.40,1812857,$144.47,$148.24,$143.6775
02/03/2020,$141.48,1527564,$141.70,$144.46,$140.87
01/31/2020,$140.06,2070215,$142.15,$142.25,$138.95
01/30/2020,$143.31,1848612,$140.535,$143.54,$138.83
01/29/2020,$142.61,1290673,$141.50,$143.235,$140.38
01/28/2020,$141.25,1958468,$138.71,$141.79,$138.325
01/27/2020,$138.00,2641198,$137.73,$139.63,$133.36
01/24/2020,$141.02,2073428,$144.97,$145.02,$139.84
01/23/2020,$144.96,1863062,$142.43,$145.06,$141.25
01/22/2020,$144.12,1297129,$145.00,$147.1916,$143.75
01/21/2020,$144.37,2757179,$148.08,$148.44,$143.42
01/17/2020,$150.26,1058863,$149.19,$150.63,$148.07
01/16/2020,$149.02,804480,$147.98,$149.04,$147.50
01/15/2020,$147.30,800192,$146.77,$148.15,$146.65
01/14/2020,$147.15,944731,$146.41,$147.63,$146.11
01/13/2020,$146.80,987538,$145.76,$146.98,$145.54
01/10/2020,$145.39,848173,$146.20,$146.57,$145.05
01/09/2020,$146.45,1197938,$147.46,$147.5899,$146.20
01/08/2020,$146.73,1412775,$145.13,$147.62,$144.72
01/07/2020,$144.94,2073528,$146.74,$147.22,$144.68
01/06/2020,$147.34,2178244,$147.90,$147.99,$146.21
01/03/2020,$149.27,2116944,$149.19,$150.02,$148.74
01/02/2020,$151.49,1777471,$151.50,$152.60,$151.03
12/31/2019,$151.43,1186070,$151.69,$152.45,$150.81
12/30/2019,$151.87,820252,$153.00,$153.24,$151.24
12/27/2019,$152.73,629805,$153.38,$153.39,$152.53
12/26/2019,$153.13,692438,$151.76,$153.16,$151.5464
12/24/2019,$151.50,668349,$151.17,$152.36,$150.66
12/23/2019,$151.24,863626,$151.00,$151.89,$150.62
12/20/2019,$150.80,2853576,$151.28,$151.55,$148.5153
12/19/2019,$150.04,1889753,$149.16,$150.43,$149.16
12/18/2019,$149.55,1201637,$148.92,$149.72,$148.38
12/17/2019,$148.91,1251672,$147.86,$149.31,$147.69
12/16/2019,$147.90,1303838,$147.60,$148.95,$147.06
12/13/2019,$146.16,1615366,$145.05,$146.45,$144.31
12/12/2019,$145.10,1472613,$142.64,$145.59,$142.33
12/11/2019,$142.75,1428810,$141.28,$143.25,$140.80
12/10/2019,$140.57,1166142,$141.09,$141.90,$140.20
12/09/2019,$141.35,850224,$142.22,$142.555,$141.32
12/06/2019,$142.29,1349107,$141.31,$142.72,$141.00
12/05/2019,$140.30,991581,$139.97,$140.50,$139.507
12/04/2019,$139.26,1149774,$138.46,$139.83,$138.375
12/03/2019,$138.56,1141070,$138.90,$139.14,$137.76
12/02/2019,$140.43,1402125,$140.68,$140.81,$139.88
11/29/2019,$140.36,751605,$140.77,$141.75,$140.06
11/27/2019,$141.34,1362281,$140.18,$141.75,$140.10
11/26/2019,$140.08,1757560,$138.15,$140.30,$137.34
11/25/2019,$137.98,1422521,$137.00,$138.51,$136.6001
11/22/2019,$136.25,1304510,$133.61,$136.52,$132.84
11/21/2019,$132.98,997316,$133.16,$133.5222,$131.35
11/20/2019,$132.71,1408586,$133.86,$134.5756,$131.26
11/19/2019,$135.47,992680,$136.12,$136.33,$135.23
11/18/2019,$135.68,1568761,$135.17,$136.31,$135.03
11/15/2019,$135.52,1371231,$134.91,$135.955,$134.17
11/14/2019,$134.55,1238804,$133.42,$134.77,$132.94
11/13/2019,$133.65,1305952,$132.23,$133.855,$131.52
11/12/2019,$132.53,1365491,$132.16,$134.24,$132.005
11/11/2019,$131.75,1282675,$132.25,$132.43,$130.83
11/08/2019,$133.20,1020339,$132.84,$133.40,$131.98
11/07/2019,$133.06,1651895,$132.55,$134.14,$132.045
11/06/2019,$132.58,1678187,$133.42,$133.77,$131.74
11/05/2019,$133.69,3577847,$128.01,$134.32,$127.75
11/04/2019,$130.16,2225938,$128.86,$130.56,$127.47
11/01/2019,$128.08,1633396,$128.24,$129.12,$126.94
10/31/2019,$126.55,1500024,$125.96,$126.84,$124.725
10/30/2019,$126.44,931684,$126.37,$126.96,$124.71
10/29/2019,$126.53,1229036,$126.77,$127.17,$125.54
10/28/2019,$126.60,1017114,$126.03,$126.755,$125.14
10/25/2019,$126.18,1364597,$123.77,$126.72,$123.77
10/24/2019,$124.30,1357329,$123.93,$124.6497,$122.86
10/23/2019,$123.49,1450746,$121.46,$123.67,$121.02
10/22/2019,$122.05,1734824,$122.62,$123.01,$121.85
10/21/2019,$123.00,1837822,$122.26,$123.40,$121.905
10/18/2019,$121.05,1437521,$120.40,$121.40,$118.96
10/17/2019,$120.57,985740,$120.81,$121.73,$120.35
10/16/2019,$121.09,1098354,$121.18,$121.70,$120.34
10/15/2019,$121.11,956423,$120.33,$121.71,$120.29
10/14/2019,$120.10,1065157,$120.79,$121.21,$119.37
10/11/2019,$121.18,1831210,$119.73,$122.31,$119.03
10/10/2019,$118.19,1706322,$118.57,$119.84,$117.67
10/09/2019,$118.49,1458601,$118.59,$119.06,$117.245
10/08/2019,$117.67,1721319,$118.20,$118.925,$116.85
